pathway_id,pathway_name,pathway_size,overlap,common_genes_in_pathway,p_value
WP4666,pathway_1490,152,42,"STAT1,CDKN1A,TLR2,EGR3,NFATC1,TBK1,MAP3K1,TGFB2,AKT3,TLR3,TGFB3,STAT4,STAT3,BRAF,PIK3CD,AKT2,PIK3CB,TLR4,TGFBR1,APAF1,NFATC3,BCL2,CASP9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,IFNA1,NFATC2,CASP3,NFATC4,BAX,TAB2,SOS1,TGFB1,TNF,AKT1,TAB1,STAT5A,CASP10",4.899452992705153e-21
path:hsa05161,pathway_343,162,43,"STAT1,CDKN1A,TLR2,EGR3,NFATC1,TBK1,MAP3K1,TGFB2,AKT3,TLR3,TP53,TGFB3,STAT4,STAT3,BRAF,PIK3CD,AKT2,PIK3CB,TLR4,TGFBR1,APAF1,NFATC3,BCL2,CASP9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,IFNA1,NFATC2,CASP3,NFATC4,BAX,TAB2,SOS1,TGFB1,TNF,AKT1,TAB1,STAT5A,CASP10",9.234022457715764e-21
WP4298,pathway_1410,78,27,"STAT1,CASP2,CASP7,CHRAC1,TLR3,CD40LG,STAT3,CXADR,CD4,TLR4,CASP6,BCL2,CASP9,IL6,CASP8,AKT1,CASP3,CCND1,BAX,SGCG,ACTB,SOS1,TGFB1,TNF,PARP1,SGCA,ABL2",9.29152608746913e-17
path:hsa05417,pathway_176,215,44,"MMP1,NCF2,TLR2,LDLR,NFATC1,TBK1,CASP7,MMP3,NCF4,AKT3,TP53,CD40LG,STAT3,PIK3CD,AKT2,TNFSF10,PIK3CB,TLR4,CCL2,APAF1,CASP6,NFATC3,BCL2,NCF1,CASP9,OLR1,IL6,PIK3CA,HSPD1,FASLG,IRF3,CASP8,NFE2L2,IFNA1,NFATC2,CASP3,VLDLR,PPARG,BAX,TAB2,TNF,AKT1,TAB1,NLRP3",1.5078872297381623e-16
R-HSA-168256,pathway_3696,1827,165,"CISH,TXLNA,TLR2,MAPKAPK3,HLA-DRB5,GLA,TREM2,CRLF1,PPIE,BTK,AKT3,CD40LG,TNFSF18,PGLYRP1,CD4,UBA1,APAF1,LAT,HLA-DRB1,CDC26,CAMP,BCL2,IL6ST,ENAH,PSEN1,CREG1,LTA,TLR1,APP,CASP10,IFI35,GH2,PELI1,S100A8,DEGS1,ACTB,RNF130,ABL2,NCF2,NFATC1,CDH1,DUSP7,SAA2,PTPRZ1,BST1,CNPY3,MAPKAPK2,GM2A,AKT2,TNFSF15,KIR3DL2,PIK3CB,TLR4,F2,NFATC3,PFKL,TLR7,NCF1,CASP9,IRS2,SAA1,IL6,APRT,MTOR,LEAP2,PPIA,IFNA1,NFATC2,PTEN,TOLLIP,LIF,CYLD,GMFG,ERP44,S100A9,TAB2,SOS1,HCST,PLAU,TBK1,SERPINA3,TRIM62,MAP3K1,LMO7,PGLYRP4,VASP,TAB3,GH1,MNDA,CXADR,MAPKAP1,PIK3CD,DUSP4,MME,EBI3,ISG20,RICTOR,OLR1,PIK3CA,FASLG,MYLIP,IRF3,CASP8,CASP3,FZR1,GAA,TNFSF9,LCP2,SP100,PROS1,STIM1,TNFSF8,CSF2,CLCF1,TNF,TAB1,STAT5A,SRP14,BLNK,DERA,STAT1,CAT,CASP2,PML,TNFSF11,TNFSF13,CD46,TLR10,NCF4,XDH,HGF,RBCK1,TLR3,TNFSF12,STAT4,STAT3,ANPEP,IL4,TLR8,ADAR,TNFSF13B,GHDC,PPBP,MMP8,GHR,CASP4,MLST8,TLR9,BST2,TNFRSF17,STAT2,PGLYRP3,ART1,ACTG1,TMBIM1,RCHY1,UNC13D,GPI,CLEC4D,TREX1,TEC,AKT1,TRIM10,MIF,NLRP3",2.9241895297176837e-16
R-HSA-1280215,pathway_3875,471,67,"CISH,TXLNA,STAT1,MAPKAPK3,HLA-DRB5,PML,TNFSF11,TNFSF13,DUSP7,CRLF1,PTPRZ1,TRIM62,HGF,TAB3,AKT3,MAPKAPK2,CLCF1,GH1,CD40LG,STAT4,TNFSF12,STAT3,ABL2,TNFSF18,IL4,PIK3CD,ADAR,DUSP4,TNFSF15,AKT2,PIK3CB,TNFSF13B,CD4,HLA-DRB1,EBI3,ISG20,GHR,IL6ST,IRS2,BST2,TNFRSF17,STAT2,IL6,PIK3CA,LTA,FASLG,IRF3,GH2,IFNA1,TOLLIP,LIF,CASP3,PELI1,TNFSF9,SP100,CSF2,TNFSF8,TAB2,TEC,SOS1,TNF,AKT1,TAB1,STAT5A,TRIM10,BLNK,IFI35",8.397112654069914e-16
path:hsa04068,pathway_138,131,32,"CDKN1A,RAG1,CAT,TGFB2,AKT3,TGFB3,STAT3,BRAF,PIK3CD,AKT2,TNFSF10,PIK3CB,IRS4,SIRT1,TGFBR1,BCL6,FOXO1,IGF1,EGF,IRS2,INSR,IL6,PIK3CA,INS,FASLG,BCL2L11,PTEN,IGF1R,CCND1,SOS1,TGFB1,AKT1",1.1259277907997994e-14
path:hsa04010,pathway_245,294,48,"NR4A1,RRAS,NFATC1,MAPKAPK3,ANGPT1,DUSP7,MAP3K1,HGF,FGF3,TGFB2,AKT3,MAPKAPK2,TGFB3,TP53,MAPT,MAPKAPK5,TGFA,BRAF,AKT2,DUSP4,TGFBR1,DUSP1,NFATC3,PGF,IGF1,BDNF,VEGFC,MRAS,EGF,INSR,MKNK1,ANGPT4,KITLG,INS,FASLG,DUSP10,MET,MKNK2,ANGPT2,IGF1R,CASP3,TAB2,NGF,SOS1,TGFB1,TNF,AKT1,TAB1",6.352199398504397e-14
path:hsa05162,pathway_344,139,32,"STAT1,TLR2,TP73,TBK1,CD46,AKT3,TP53,STAT3,PIK3CD,AKT2,ADAR,PIK3CB,TLR4,APAF1,TLR7,BCL2,CASP9,TLR9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,IFNA1,CASP3,CCND1,RCHY1,BAX,TAB2,AKT1,STAT5A",6.742649434623043e-14
path:hsa04060,pathway_309,295,48,"GDF7,RELT,TNFSF13,TNFSF11,TSLP,LEPR,TGFB2,NODAL,GH1,CD40LG,TNFSF12,TGFB3,TNFSF18,IFNK,IL4,TNFSF15,TNFSF13B,TNFSF10,CD4,TGFBR1,CCL2,CXCL9,PPBP,EBI3,GDF11,GHR,IL6ST,TNFRSF17,IL6,AMHR2,AMH,LTA,FASLG,PF4,GH2,IFNA1,LIF,CCL26,TNFSF9,CCL27,CSF2,TNFSF8,NGF,GDF6,TGFB1,TNF,LEP,CLCF1",7.24730790117279e-14
path:hsa04066,pathway_80,109,28,"CDKN1A,ANGPT1,AKT3,LDHAL6B,STAT3,PIK3CD,AKT2,PIK3CB,LDHC,TLR4,PFKL,IGF1,BCL2,EGF,INSR,MKNK1,ANGPT4,IL6,PFKM,PIK3CA,INS,MTOR,MKNK2,ANGPT2,IGF1R,GAPDH,LDHAL6A,AKT1",1.3307573823877537e-13
WP254,pathway_1166,87,25,"TP73,CASP2,CASP7,MAP3K1,TP53,TNFSF10,APAF1,CASP6,IGF1,BCL2,CASP4,CASP9,LTA,FASLG,BCL2L11,TP63,IRF3,CASP8,IGF1R,CASP3,BAX,HELLS,TNF,AKT1,CASP10",1.6829253405403972e-13
path:hsa04630,pathway_82,162,34,"CISH,STAT1,CDKN1A,STAM,SOCS4,TSLP,LEPR,AKT3,GH1,STAT4,STAT3,IFNK,IL4,PIK3CD,AKT2,PIK3CB,BCL2,GHR,EGF,IL6ST,STAT2,IL6,PIK3CA,SOCS7,MTOR,GH2,IFNA1,LIF,CCND1,CSF2,SOS1,AKT1,STAT5A,LEP",1.9877899586010575e-13
WP1449,pathway_1070,145,32,"CISH,STAT1,TLR2,TBK1,BTK,TAB3,AKT3,RBCK1,TLR3,TLR8,PIK3CD,AKT2,PIK3CB,TLR4,CXCL9,TLR7,MLST8,TLR9,PIK3CG,IL6,TLR1,PIK3CA,IRF3,CASP8,TOLLIP,IFNA1,PELI1,CYLD,TAB2,TNF,AKT1,TAB1",2.3572745739606156e-13
path:hsa05215,pathway_142,97,26,"CDKN1A,INSRR,PLAU,AR,MMP3,AKT3,TP53,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,FOXO1,IGF1,BCL2,EGF,CASP9,PIK3CA,INS,PLAT,MTOR,PTEN,IGF1R,CCND1,SOS1,AKT1",3.361848240867287e-13
path:hsa05212,pathway_332,76,23,"STAT1,CDKN1A,TGFB2,AKT3,TGFB3,TP53,STAT3,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,TGFBR1,POLK,EGF,CASP9,BRCA2,PIK3CA,MTOR,CCND1,BAX,TGFB1,AKT1",4.647519007041323e-13
WP4806,pathway_1531,84,24,"RRAS,HGF,AKT3,STAT3,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,IGF1,BCL2,MRAS,EGF,IL6,PIK3CA,BCL2L11,MTOR,MET,PTEN,IGF1R,CCND1,BAX,SOS1,AKT1",5.904949955395879e-13
path:hsa05210,pathway_334,86,24,"CDKN1A,TGFB2,AKT3,TP53,TGFB3,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,TGFBR1,POLK,BCL2,EGF,CASP9,PIK3CA,BCL2L11,MTOR,CASP3,CCND1,BAX,SOS1,TGFB1,AKT1",1.0418771623940593e-12
path:hsa04380,pathway_290,127,29,"STAT1,NCF2,NFATC1,TNFSF11,TREM2,SIRPG,BTK,NCF4,TGFB2,AKT3,PIK3CD,AKT2,PIK3CB,TGFBR1,MITF,NCF1,STAT2,PIK3CA,NFATC2,PPARG,CYLD,TAB2,TEC,TGFB1,TNF,AKT1,TAB1,BLNK,LCP2",1.2523426212559663e-12
WP75,pathway_1655,103,26,"STAT1,TLR2,TBK1,TAB3,AKT3,TLR3,TLR8,PIK3CD,AKT2,PIK3CB,TLR4,CXCL9,TLR7,TLR9,PIK3CG,IL6,TLR1,PIK3CA,IRF3,CASP8,TOLLIP,IFNA1,TAB2,TNF,AKT1,TAB1",1.5416609597738505e-12
path:hsa04933,pathway_68,100,25,"STAT1,NFATC1,TGFB2,AKT3,TGFB3,STAT3,MMP2,PIK3CD,AKT2,PIK3CB,TGFBR1,CCL2,FOXO1,BCL2,VEGFC,IL6,PIK3CA,CASP3,F3,CCND1,BAX,TGFB1,TNF,AKT1,STAT5A",5.223686341493125e-12
caspase_pathway,pathway_3366,57,19,"CASP2,CASP7,MAP3K1,TOP1,MADD,TNFSF10,APAF1,CASP6,BCL2,CASP9,FASLG,APP,CASP8,CASP3,BAX,PARP1,TNF,AKT1,CASP10",7.305497111516505e-12
path:hsa04210,pathway_301,136,29,"CASP2,CASP7,AKT3,TP53,PARP2,PIK3CD,AKT2,PARP4,TNFSF10,PIK3CB,APAF1,CASP6,BCL2,CASP9,PARP3,PIK3CA,FASLG,BCL2L11,CASP8,ACTG1,CASP3,BAX,ACTB,AIFM1,NGF,PARP1,TNF,AKT1,CASP10",7.747535162023755e-12
path:hsa05218,pathway_61,72,21,"CDKN1A,CDH1,HGF,FGF3,AKT3,TP53,BRAF,PIK3CD,AKT2,PIK3CB,MITF,POLK,IGF1,EGF,PIK3CA,MET,PTEN,IGF1R,CCND1,BAX,AKT1",1.0659879207045268e-11
WP4838,pathway_1541,20,12,"ACTA2,CASP9,BRAF,BAX,TNFSF11,PIK3CA,TGFB1,APAF1,AKT1,MTOR,TRPV5,CASP8",1.1308200994638008e-11
WP4172,pathway_1374,339,48,"TCL1A,CDKN1A,TLR2,ANGPT1,RELN,HGF,FGF3,TCL1B,AKT3,TP53,GH1,IL4,TGFA,PIK3CD,AKT2,PIK3CB,TLR4,PGF,IGF1,F2R,BDNF,BCL2,VEGFC,GHR,EGF,CASP9,INSR,MLST8,ANGPT4,PIK3CG,KITLG,IL6,PIK3CA,INS,BCL2L11,FASLG,MET,MTOR,ANGPT2,GH2,PTEN,IFNA1,RPTOR,IGF1R,CCND1,NGF,SOS1,AKT1",1.3292217457244726e-11
path:hsa04151,pathway_27,353,49,"TCL1A,NR4A1,CDKN1A,TLR2,ANGPT1,RELN,HGF,FGF3,TCL1B,AKT3,TP53,GH1,IL4,TGFA,PIK3CD,AKT2,PIK3CB,TLR4,PGF,IGF1,F2R,BDNF,BCL2,VEGFC,GHR,EGF,CASP9,INSR,MLST8,ANGPT4,PIK3CG,KITLG,IL6,PIK3CA,INS,BCL2L11,FASLG,MET,MTOR,ANGPT2,GH2,PTEN,IFNA1,RPTOR,IGF1R,CCND1,NGF,SOS1,AKT1",1.681875936966445e-11
WP4263,pathway_1400,89,23,"STAT1,CDKN1A,TGFB2,AKT3,TP53,TGFB3,STAT3,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,TGFBR1,POLK,EGF,CASP9,BRCA2,PIK3CA,MTOR,CCND1,BAX,TGFB1,AKT1",1.7679133660973368e-11
WP314,pathway_1228,43,16,"MAPKAPK2,BCL2,CASP3,TNF,CASP9,MAPKAPK3,ACTB,CASP7,PARP1,FASLG,APAF1,CASP6,CASP10,MAP3K1,CASP8,ACTG1",4.911949014116597e-11
,pathway_1017,22,12,"AKT3,IGF1,IGF1R,INSR,IRS2,AKT2,PIK3CG,IRS4,INS,TGFBR1,AKT1,FOXO1",5.312240526051371e-11
path:hsa05200,pathway_273,531,62,"STAT1,MMP1,CDKN1A,EPAS1,PML,AR,CDH1,CASP7,HGF,FGF3,TGFB2,AKT3,TP53,TGFB3,STAT4,STAT3,BRAF,MMP2,PIK3CD,TGFA,IL4,AKT2,PIK3CB,TGFBR1,APAF1,MITF,F2,FOXO1,POLK,IGF1,PGF,F2R,BCL2,VEGFC,FH,EGF,IL6ST,CASP9,STAT2,BRCA2,KITLG,IL6,PIK3CA,BCL2L11,FASLG,MET,MTOR,CASP8,NFE2L2,PTEN,IFNA1,IGF1R,CASP3,CCND1,PPARG,BAX,GNAS,SOS1,TGFB1,AKT1,STAT5A,SP1",6.546805761042153e-11
path:hsa04620,pathway_279,104,24,"STAT1,TLR2,TBK1,AKT3,TLR3,TLR8,PIK3CD,AKT2,PIK3CB,TLR4,CXCL9,TLR7,TLR9,IL6,TLR1,PIK3CA,IRF3,CASP8,TOLLIP,IFNA1,TAB2,TNF,AKT1,TAB1",8.576260429777128e-11
path:hsa05223,pathway_11,72,20,"CDKN1A,HGF,AKT3,TP53,STAT3,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,POLK,EGF,CASP9,PIK3CA,MET,CCND1,BAX,SOS1,AKT1,STAT5A",8.840127842781519e-11
WP4255,pathway_1396,72,20,"CDKN1A,AKT3,TP53,STAT3,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,POLK,EGF,CASP9,PIK3CA,CASP8,CASP3,CCND1,BAX,SOS1,AKT1,STAT5A",8.840127842781519e-11
path:hsa05164,pathway_324,172,31,"STAT1,HLA-DRB5,PML,TBK1,AKT3,TLR3,PIK3CD,AKT2,ADAR,TNFSF10,PIK3CB,TLR4,CCL2,APAF1,HLA-DRB1,TLR7,CASP9,STAT2,IL6,PIK3CA,FASLG,IRF3,CASP8,ACTG1,IFNA1,CASP3,BAX,ACTB,TNF,AKT1,NLRP3",1.4156619465242322e-10
WP4396,pathway_1430,155,29,"CASP7,NDUFV2,LEPR,AKT3,NDUFS8,PIK3CD,AKT2,PIK3CB,CCL2,NDUFS7,NDUFS3,INSR,UQCRQ,IRS2,MLXIP,IL6,PIK3CA,INS,FASLG,BCL2L11,NDUFS2,CASP8,CASP3,NDUFV1,BAX,TGFB1,TNF,AKT1,LEP",2.2005654609991005e-10
WP710,pathway_1648,110,24,"CDKN1A,TP73,LDLR,CAT,PLAU,MAP3K1,AKT3,TP53,PIK3CD,AKT2,PIK3CB,BCL6,BCL2,INSR,PIK3CG,PIK3CA,FASLG,BCL2L11,PTEN,CCND1,BAX,SOS1,TGFB1,AKT1",2.973001318614412e-10
path:hsa05169,pathway_320,201,33,"STAT1,CDKN1A,TLR2,HLA-DRB5,TBK1,BTK,AKT3,TP53,STAT3,PIK3CD,AKT2,PIK3CB,APAF1,HLA-DRB1,POLK,BCL2,CASP9,STAT2,IL6,PIK3CA,BCL2L11,IRF3,CASP8,ENTPD1,IFNA1,CASP3,CCND1,BAX,TAB2,TNF,AKT1,TAB1,BLNK",4.6267797390389245e-10
path:hsa04932,pathway_67,150,28,"CASP7,NDUFV2,LEPR,AKT3,NDUFS8,PIK3CD,AKT2,PIK3CB,NDUFS7,NDUFS3,INSR,UQCRQ,IRS2,MLXIP,IL6,PIK3CA,INS,FASLG,BCL2L11,NDUFS2,CASP8,CASP3,NDUFV1,BAX,TGFB1,TNF,AKT1,LEP",4.750501139680709e-10
path:hsa04625,pathway_217,104,23,"STAT1,RRAS,EGR3,NFATC1,AKT3,MAPKAPK2,PIK3CD,AKT2,PIK3CB,NFATC3,BCL3,MRAS,STAT2,IL6,PIK3CA,CASP8,NFATC2,NFATC4,CYLD,CLEC4D,TNF,AKT1,NLRP3",5.234093606515598e-10
WP4864,pathway_1482,21,11,"BCL2,CASP3,TNF,CASP9,BAX,CASP7,FASLG,APAF1,AKT1,CASP8,BCL2L11",6.165703252951755e-10
extrinsicpathway,pathway_4050,13,9,"F2R,F7,F5,F3,F10,PROS1,PROC,TFPI,F2",7.331450452418158e-10
path:hsa04211,pathway_193,89,21,"CAT,AKT3,TP53,PIK3CD,AKT2,SIRT1,PIK3CB,IRS4,FOXO1,IGF1,INSR,IRS2,PIK3CA,INS,MTOR,PPARGC1A,RPTOR,IGF1R,PPARG,BAX,AKT1",8.308116860374478e-10
path:hsa05213,pathway_333,58,17,"AKT3,PTEN,TP53,CDKN1A,EGF,CASP9,CCND1,BRAF,PIK3CD,AKT2,BAX,CDH1,PIK3CB,PIK3CA,SOS1,AKT1,POLK",9.097356856817631e-10
WP4674,pathway_1492,74,19,"CDKN1A,AKT3,TP53,MAPKAP1,AKT2,PIK3CB,MLST8,RICTOR,PIK3CG,PIK3CA,TP63,MTOR,CASP8,NFE2L2,PTEN,RPTOR,IGF1R,CCND1,AKT1",1.1380340387336236e-09
WP3645,pathway_1270,22,11,"SIRT2,SIRT6,SIRT4,PARP2,PARP4,SIRT1,SIRT5,SIRT3,PARP1,SIRT7,BST1",1.1800182453298376e-09
path:hsa04218,pathway_311,156,28,"CDKN1A,RRAS,NFATC1,TGFB2,AKT3,MAPKAPK2,TP53,TGFB3,PIK3CD,AKT2,SIRT1,PIK3CB,TGFBR1,FOXO1,NFATC3,TRPM7,MRAS,IL6,PIK3CA,MTOR,PPID,PTEN,NFATC2,CCND1,NFATC4,TRPV4,TGFB1,AKT1",1.2096729907277108e-09
R-HSA-9006934,pathway_2141,464,54,"MST1R,STAT1,NCF2,EGR3,STAM,MAPKAPK3,HGFAC,DUSP7,MST1,NCF4,HGF,FGF3,AKT3,EPGN,MAPKAPK2,STAT3,BRAF,DLG4,MAPKAP1,TGFA,DUSP4,AKT2,PIK3CB,IRS4,PGF,IGF1,BDNF,NCF1,VEGFC,EGF,IRS2,INSR,RICTOR,MLST8,TLR9,MKNK1,KITLG,PSEN1,PIK3CA,INS,PLAT,PGR,MET,MTOR,IGF1R,CDH5,F3,TAB2,NGF,TEC,SOS1,AKT1,ESRP2,STAT5A",1.2895170943049442e-09
path:hsa05214,pathway_183,75,19,"CDKN1A,AKT3,TP53,BRAF,TGFA,PIK3CD,AKT2,PIK3CB,POLK,IGF1,EGF,PIK3CA,MTOR,PTEN,IGF1R,CCND1,BAX,SOS1,AKT1",1.4567696219751477e-09
path:hsa04015,pathway_240,210,33,"RRAS,ANGPT1,CDH1,HGF,FGF3,VASP,AKT3,BRAF,PIK3CD,AKT2,PIK3CB,LAT,PGF,IGF1,F2R,VEGFC,MRAS,EGF,INSR,ANGPT4,ENAH,KITLG,PIK3CA,INS,MET,ANGPT2,ACTG1,IGF1R,GNAS,ACTB,NGF,AKT1,LCP2",1.475769377379863e-09
path:hsa04217,pathway_216,159,28,"STAT1,USP21,RBCK1,TLR3,CHMP1B,STAT4,STAT3,CHMP4C,TNFSF10,TLR4,TRPM7,BCL2,SMPD1,STAT2,FASLG,CASP8,PPIA,PPID,IFNA1,CHMP6,PYGM,CYLD,BAX,AIFM1,PARP1,TNF,STAT5A,NLRP3",1.8939051511267745e-09
path:hsa04152,pathway_166,120,24,"LEPR,AKT3,PIK3CD,AKT2,SIRT1,PIK3CB,IRS4,PFKL,FOXO1,IGF1,INSR,IRS2,PFKM,PIK3CA,INS,MTOR,PPARGC1A,RPTOR,IGF1R,CCND1,PPARG,FASN,AKT1,LEP",1.940626334426309e-09
chemicalpathway,pathway_2771,14,9,"TP53,BCL2,CASP3,CASP9,BAX,CASP7,APAF1,CASP6,AKT1",1.965708780229974e-09
WP272,pathway_1181,23,11,"F5,F3,F12,F9,F10,F2,PLAU,F8,PLAT,F11,F7",2.1642983137533016e-09
WP176,pathway_1044,69,18,"TP53,FLAD1,F7,SAA4,TNF,INSR,LDLR,CAT,IL4,SAA1,IL6,PLAT,SERPINA3,CCL2,SAA2,INS,RFK,F2",2.3560872359966733e-09
path:hsa05415,pathway_87,203,32,"PDK4,NCF2,G6PD,NDUFV2,NCF4,TGFB2,AKT3,NDUFS8,TGFB3,MMP2,PIK3CD,AKT2,PIK3CB,PPIF,TGFBR1,ACE,NDUFS7,NCF1,NDUFS3,INSR,UQCRQ,PIK3CA,INS,MTOR,NDUFS2,PTEN,NDUFV1,GAPDH,PARP1,TGFB1,AKT1,SP1",2.410903291437551e-09
path:hsa05145,pathway_251,112,23,"STAT1,TLR2,LDLR,HLA-DRB5,TGFB2,AKT3,TGFB3,CD40LG,STAT3,AKT2,PPIF,TLR4,HLA-DRB1,BCL2,CASP9,PIK3CG,CASP8,CASP3,TAB2,TGFB1,TNF,AKT1,TAB1",2.449456065218713e-09
WP236,pathway_1145,131,25,"STAT1,CDKN1A,EPAS1,ZMPSTE24,GH1,STAT3,FOXC2,IRS4,FOXO1,IGF1,MIF,IL6ST,IRS2,STAT2,IL6,INS,PPARGC1A,LIF,PPARG,LPL,TGFB1,TNF,STAT5A,LEP,SP1",2.4987252210093253e-09
path:hsa05167,pathway_350,193,31,"STAT1,CDKN1A,NFATC1,TBK1,AKT3,MAPKAPK2,TP53,TLR3,STAT3,PIK3CD,AKT2,PIK3CB,NFATC3,IL6ST,CASP9,STAT2,IL6,PIK3CG,PIK3CA,MTOR,IRF3,CASP8,ANGPT2,IFNA1,NFATC2,CASP3,CCND1,NFATC4,BAX,CSF2,AKT1",2.6858590486006583e-09
path:hsa04213,pathway_90,62,17,"AKT3,IGF1,RPTOR,IGF1R,INSR,IRS2,CAT,PIK3CD,AKT2,SIRT1,PIK3CB,IRS4,PIK3CA,INS,AKT1,MTOR,FOXO1",2.844626564681474e-09
path:hsa05230,pathway_55,70,18,"AKT3,SIRT6,TP53,PTEN,LDHAL6B,LDHAL6A,G6PD,PIK3CD,AKT2,SIRT3,PIK3CB,LDHC,PFKM,PIK3CA,MET,AKT1,MTOR,PFKL",3.0317340933041958e-09
ap1_pathway,pathway_3447,70,18,"PTEN,TP53,NFATC2,MMP1,ATF3,CCND1,TGFB1,NFATC1,IL4,PLAU,NFATC3,IL6,CBFB,CSF2,CCL2,DUSP1,BCL2L11,SP1",3.0317340933041958e-09
,pathway_2604,310,41,"TXLNA,STAT1,MAPKAPK3,CDK9,BTK,MAP3K1,LEPR,AKT3,MAPKAPK2,CD40LG,STAT4,STAT3,PRKAR1A,BRAF,MAPKAPK5,IL4,AKT2,TNFSF10,TGFBR1,GHR,INSR,IL6ST,STAT2,MKNK1,IL6,AMHR2,KITLG,LTA,FASLG,MET,MTOR,IFNA1,CDC7,IGF1R,LIF,CSF2,TEC,SOS1,TNF,AKT1,STAT5A",3.2888618441522482e-09
WP384,pathway_1293,19,10,"CASP3,CASP9,CASP2,AIFM1,CASP7,FASLG,APAF1,CASP6,MAP3K1,CASP8",3.5882550702240497e-09
WP4155,pathway_1372,63,17,"AKT3,PTEN,TP53,CDKN1A,EGF,CASP9,CCND1,BRAF,PIK3CD,AKT2,BAX,CDH1,PIK3CB,PIK3CA,SOS1,AKT1,POLK",3.724401793784106e-09
R-HSA-2219528,pathway_2025,106,22,"NR4A1,CDKN1A,HGF,FGF3,AKT3,EPGN,TGFA,PIK3CD,AKT2,MAPKAP1,PIK3CB,FOXO1,EGF,IRS2,CASP9,RICTOR,MLST8,KITLG,PIK3CA,MTOR,MET,AKT1",4.4078874185949335e-09
R-HSA-168249,pathway_3572,1064,94,"TLR2,MAPKAPK3,GLA,TREM2,PPIE,BTK,PGLYRP1,CD4,APAF1,LAT,CAMP,BCL2,PSEN1,CREG1,TLR1,APP,PELI1,S100A8,DEGS1,ACTB,NCF2,NFATC1,DUSP7,SAA2,BST1,CNPY3,MAPKAPK2,GM2A,PIK3CB,TLR4,F2,NFATC3,PFKL,TLR7,NCF1,CASP9,SAA1,APRT,LEAP2,PPIA,IFNA1,NFATC2,TOLLIP,CYLD,GMFG,ERP44,S100A9,TAB2,SOS1,NLRP3,PLAU,TBK1,SERPINA3,MAP3K1,TAB3,PGLYRP4,MNDA,DUSP4,MME,OLR1,PIK3CA,IRF3,CASP8,GAA,LCP2,PROS1,TAB1,SRP14,DERA,CAT,CASP2,CD46,TLR10,NCF4,TLR3,ANPEP,TLR8,GHDC,PPBP,MMP8,CASP4,TLR9,BST2,PGLYRP3,ART1,ACTG1,TMBIM1,UNC13D,GPI,CLEC4D,TREX1,TEC,MIF,CASP10",4.5727507257514714e-09
WP3932,pathway_1336,302,40,"TCL1A,CDKN1A,EPAS1,ANGPT1,RELN,HGF,FGF3,AKT3,TCL1B,FOXA1,PIK3CD,AKT2,PIK3CB,IRS4,FOXO1,PGF,IGF1,F2R,VEGFC,GHR,EGF,IRS2,CASP9,INSR,MLST8,ANGPT4,PIK3CG,KITLG,PIK3CA,INS,MTOR,MET,PPARGC1A,ANGPT2,PTEN,RPTOR,IGF1R,NGF,SOS1,AKT1",4.89990069766254e-09
,pathway_2478,98,21,"TXLNA,STAT1,LEPR,GH1,CD40LG,STAT4,STAT3,IL4,TNFSF10,GHR,IL6ST,STAT2,IL6,KITLG,LTA,FASLG,IFNA1,LIF,CSF2,TNF,STAT5A",5.3886836459829996e-09
